latitude,longitude
33.9731208,-6.8687532
33.9766329,-6.8655491
33.9677466,-6.8649776
33.9605552,-6.8674595
33.9620177,-6.8840508
33.9743814,-6.8838794
33.9688475,-6.8719864
33.9711724,-6.8841613
33.9658764,-6.8820812
33.9640257,-6.8718015
33.9622875,-6.8622694
33.9774008,-6.8741758
33.9712887,-6.8692452
33.9693241,-6.8659205
33.9606918,-6.8707867
33.9611011,-6.8628074
33.9732707,-6.8689263
33.9607218,-6.8753887
33.9679755,-6.8552301
33.9774269,-6.8651623
33.9625826,-6.8689787
33.9735682,-6.8808107
33.9674042,-6.8657419
33.9674172,-6.8579977
33.9763592,-6.8650892
33.9628162,-6.8650159
33.9638848,-6.8710933
33.9864094,-6.8299746
33.9875435,-6.819384
33.9956055,-6.829669
33.9949759,-6.8197141
33.9857102,-6.8267356
33.9952189,-6.8248789
33.9947949,-6.8388144
33.986298,-6.8208056
33.9888347,-6.8213299
33.9942136,-6.8198366
33.9962624,-6.8317866
33.9891393,-6.8328116
33.9900731,-6.8242837
33.9936044,-6.8283577
33.9973708,-6.8226891
33.9839596,-6.8374496
33.9922884,-6.8341922
33.9926189,-6.8338588
33.9848411,-6.8226267
33.9921241,-6.8282574
33.9876775,-6.8219121
33.9941149,-6.8360124
33.9967343,-6.8209545
33.98783,-6.8298803
33.9894413,-6.8182356
33.9840172,-6.8302942
33.9930454,-6.831212
33.9896024,-6.8298299
33.9915479,-6.8248573
33.9975553,-6.8206554
33.9951336,-6.8182099
33.9921711,-6.8266192
33.9905927,-6.8329232
33.9868505,-6.8197863
33.9872034,-6.8234642
33.9960257,-6.8283966
33.99486,-6.8349063
33.9954398,-6.8151938
34.0053041,-6.8676281
34.0086809,-6.862896
34.0196884,-6.8507548
34.0117622,-6.8678378
34.0184071,-6.8506916
34.0085045,-6.8486919
34.0141543,-6.8567216
34.0074215,-6.8598521
34.0193626,-6.8581115
34.0131253,-6.8673932
34.0193917,-6.853138
34.0067944,-6.8649244
34.0196909,-6.8629289
34.0132345,-6.8689933
34.0072775,-6.8625994
34.0073407,-6.8639071
34.0069862,-6.8591071
34.0056215,-6.8501922
34.015404,-6.8517876
34.0106514,-6.8624176
34.0125627,-6.8497771
34.0193164,-6.8665798
34.0137912,-6.8529325
34.0145926,-6.8616128
34.0116465,-6.8558158
